,MAP_ID,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal,RED,BLUE,G,BRN,P,Y,Pnk,O,Location
9684,41430,87th,09/01/2006,5215.7,2990.6,1969.8,129115,True,False,False,False,False,False,False,False,"(41.735372, -87.624717)"
9685,40450,95th/Dan Ryan,09/01/2006,15692.3,8397.8,6123.2,386451,True,False,False,False,False,False,False,False,"(41.722377, -87.624342)"
9686,41050,Linden,09/01/2006,1097.1,780.2,561.0,28647,False,False,False,False,True,False,False,False,"(42.073153, -87.69073)"
9687,41250,Central-Evanston,09/01/2006,848.9,645.4,250.8,21458,False,False,False,False,True,False,False,False,"(42.063987, -87.685617)"
9688,40400,Noyes,09/01/2006,610.4,416.6,213.6,15359,False,False,False,False,True,False,False,False,"(42.058282, -87.683337)"
9689,40520,Foster,09/01/2006,729.8,472.4,265.0,18283,False,False,False,False,True,False,False,False,"(42.05416, -87.68356)"
9690,40050,Davis,09/01/2006,3872.0,3017.6,1765.4,101355,False,False,False,False,True,False,False,False,"(42.04771, -87.683543)"
9691,40690,Dempster,09/01/2006,781.5,555.8,420.2,20510,False,False,False,False,True,False,False,False,"(42.041655, -87.681602)"
9692,40270,Main,09/01/2006,1232.2,815.2,490.0,31169,False,False,False,False,True,False,False,False,"(42.033456, -87.679538)"
9693,40840,South Boulevard,09/01/2006,784.0,404.4,245.2,18927,False,False,False,False,True,False,False,False,"(42.027612, -87.678329)"
9694,40140,Skokie,09/01/2006,2650.8,0.0,0.0,53016,False,False,False,False,False,True,False,False,"(42.038951, -87.751919)"
9695,40890,O'Hare Airport,09/01/2006,10258.9,8232.2,9006.2,291370,False,True,False,False,False,False,False,False,"(41.97766526, -87.90422307)"
9696,40820,Rosemont,09/01/2006,5819.5,3108.4,2088.2,142372,False,True,False,False,False,False,False,False,"(41.983507, -87.859388)"
9697,40230,Cumberland,09/01/2006,5905.0,2994.4,2052.2,143332,False,True,False,False,False,False,False,False,"(41.984246, -87.838028)"
9698,40750,Harlem-O'Hare,09/01/2006,3138.2,1448.0,957.0,74788,False,True,False,False,False,False,False,False,"(41.98227, -87.8089)"
9699,41280,Jefferson Park,09/01/2006,6977.4,3393.6,2553.6,169283,False,True,False,False,False,False,False,False,"(41.970634, -87.760892)"
9700,41330,Montrose-O'Hare,09/01/2006,2139.8,933.2,644.8,50686,False,True,False,False,False,False,False,False,"(41.961539, -87.743574)"
9701,40550,Irving Park-O'Hare,09/01/2006,4422.1,2205.4,1697.0,107954,False,True,False,False,False,False,False,False,"(41.952925, -87.729229)"
9702,41240,Addison-O'Hare,09/01/2006,2813.1,1292.2,953.4,67490,False,True,False,False,False,False,False,False,"(41.94738, -87.71906)"
9703,40060,Belmont-O'Hare,09/01/2006,5083.1,2970.2,2182.4,127424,False,True,False,False,False,False,False,False,"(41.938132, -87.712359)"
9704,41020,Logan Square,09/01/2006,5614.4,3214.8,2259.4,139659,False,True,False,False,False,False,False,False,"(41.929728, -87.708541)"
